ip,date,time,T (ºC)
168.90.31.193,23/10/2020, 05:59:55,24.13
168.90.31.193,23/10/2020, 06:00:32,24.18
168.90.31.193,23/10/2020, 06:01:08,24.18
168.90.31.193,23/10/2020, 06:01:44,23.54
168.90.31.193,23/10/2020, 06:02:22,24.18
168.90.31.193,23/10/2020, 06:02:58,23.54
168.90.31.193,23/10/2020, 06:03:34,24.13
168.90.31.193,23/10/2020, 06:04:10,24.13
168.90.31.193,23/10/2020, 06:04:47,23.49
168.90.31.193,23/10/2020, 06:05:23,24.18
168.90.31.193,23/10/2020, 06:05:59,24.18
168.90.31.193,23/10/2020, 06:06:36,24.18
168.90.31.193,23/10/2020, 06:07:12,24.18
168.90.31.193,23/10/2020, 06:07:48,24.18
168.90.31.193,23/10/2020, 06:08:25,24.18
168.90.31.193,23/10/2020, 06:09:01,24.18
168.90.31.193,23/10/2020, 06:09:37,24.18
168.90.31.193,23/10/2020, 06:10:13,24.18
168.90.31.193,23/10/2020, 06:11:31,24.18
168.90.31.193,23/10/2020, 06:12:07,24.18
168.90.31.193,23/10/2020, 06:12:43,24.18
168.90.31.193,23/10/2020, 06:13:20,24.22
168.90.31.193,23/10/2020, 06:13:56,24.18
168.90.31.193,23/10/2020, 06:14:32,23.54
168.90.31.193,23/10/2020, 06:15:08,24.18
168.90.31.193,23/10/2020, 06:15:45,24.22
168.90.31.193,23/10/2020, 06:16:21,23.54
168.90.31.193,23/10/2020, 06:16:57,24.18
168.90.31.193,23/10/2020, 06:17:34,24.18
168.90.31.193,23/10/2020, 06:18:10,23.54
168.90.31.193,23/10/2020, 06:18:46,24.18
168.90.31.193,23/10/2020, 06:19:22,24.18
168.90.31.193,23/10/2020, 06:19:58,24.18
168.90.31.193,23/10/2020, 06:20:35,24.13
168.90.31.193,23/10/2020, 06:21:11,24.18
168.90.31.193,23/10/2020, 06:21:47,24.18
168.90.31.193,23/10/2020, 06:22:24,24.13
168.90.31.193,23/10/2020, 06:23:00,24.18
168.90.31.193,23/10/2020, 06:23:36,23.59
168.90.31.193,23/10/2020, 06:24:12,24.13
